id,customer_id,make,model,year,engine,drive_type,fleet_no
632,407,"Ford","Explorer","1996",,,
633,340,,,,,,
634,32,"Ford","Ranger","2003","3.0",,
635,233,"Dodge","Ram","1996",,,
636,245,,,,,,
637,405,"Chevy","Blazer","1999",,,
638,416,"Chrysler","Sebring","1999",,,
639,404,,,,,,
640,417,"Ford","LTD`","1978",,,
641,418,"Olds Cutlass","Ciera","1989","2.8",,
642,419,"Toyota","Celica","1991",,,
643,420,"Ford"," Escort","1987",,,
644,407,,,,,,
645,415,,,,,,
646,421,"Ford","Escort","1995",,,
647,143,,,,,,
648,209,,,,,,
649,422,,,,,,
650,232,"Chevy","S10 #31",,,,"31"
651,423,"Chevy","Astro Van","1990",,,
652,16,,,,,,
653,424,"Chevy","Truck","2004","4.3",,
654,425,"Oldsmobile","Silhouette","1995",,,
655,426,"Dodge","Neon","2000",,,
656,421,"Chevy","S10","1988",,,
657,79,,,,,,
658,263,,,,,,
659,255,,,,,,
660,180,,,,,,
661,310,,,,,,
662,407,,,,,,
663,273,,,,,,
664,220,"Truck",,"1988",,,
665,350,"Pontiac","Sunbird","1992",,,
666,409,"Ford","Festiva","1991",,,
667,303,"Pontiac","Grand Am","1997",,,
668,179,"Jeep","Grand Cherokee","2002","4.7",,
669,427,"Chevy","Silverado","1997",,,
670,428,"Lincoln","Town Car","1995",,,
671,429,"Ford","F150","1991",,,
672,430,"Chevy","Blazer","1996",,,
673,431,"Pontiac","Sunbird","1996",,,
674,432,"Dodge","Truck","1992",,,
675,322,"GMC","Siera","1996",,,
676,224,"Ford","Ranger","2000",,,
677,128,,,,,,
678,303,"Chevy","Cavalier","1995",,,
679,121,,,,,,
680,433,"Dodge","Van 2500","1990",,,
681,434,"GMC Truck",,"1986",,,
682,233,,,,,,
683,435,"Ford","Windstar Van","1999",,,
684,167,"Lincoln","Continental","1998",,,
685,21,,,,,,
686,262,,,,,,
687,270,,,,,,
688,437,"Mercury","Cougar","1993",,,
689,424,"GMC","Van","1999","5.7",,
690,438,"Ford","F150","2003",,,
691,113,,,,,,
692,353,"Chevy","Lumina",,,,
693,164,,,,,,
694,25,,,,,,
695,353,,,,,,
696,353,,,,,,
697,170,"Chevy","Camero",,,,
698,142,,,,,,
699,220,"Chevy","Blazer","1998",,,
700,135,"Pontiac","Grand Prix","1993",,,
701,440,"Mazda",,,,,
702,130,,,,,,
703,441,"Ford","Truck","1989",,,
704,303,"Dodge","Stratus","1997",,,
705,442,"Chevy","Lumina","1996",,,
706,443,"Toyota",,"1992",,,
707,444,"Olds","Cutlass Ciera","1995",,,
708,406,"Buick","Century","1990",,,
709,245,"Buick","LaSabre","1983",,,
710,249,,,,,,
711,443,,,,,,
712,147,,,,,,
713,445,"Dodge","Ram","1998",,,
714,446,"Ford","Escort","2001",,,
715,147,,,,,,
716,113,,"Beetle","2001","2.0 SOHC",,
717,447,"Mercury","Tracer","1994",,,
718,121,,,,,,
719,448,"Dodge","Ram","1988",,,
720,146,,,,,,
721,449,"Chevy","Corsica","1996",,,
722,341,,,,,,
723,450,"Ford","F150","1993",,,
724,451,"Ford","Escort","1995",,,
725,452,"Ford","F150","1987",,,
726,4752,".",".",".",".",".",
727,415,,,,,,
728,454,"Ford","Tempo","1992",,,
729,12,"Ford","Taurus","2003",,,
730,455,"Toyota","Corolla","2001",,,
731,456,"Chevy","Malibu","1999",,,
732,457,"Ford","F150","1998",,,
733,458,"Lincoln","Town Car","1999",,,
734,459,"Ford","Ranger","1996",,,
735,290,"Saturn",,,,,
736,460,"Chevy","Camero","1999",,,
737,461,,"Crown Victoria","1987",,,
738,462,"Ford","AEROSTAR","1992",,,
739,4752,".",".",".",".",".",
740,405,"Mercedes Benz","E550","2012","4.7",,
741,147,"Lawn Mower",,,,,
742,357,"Mercury","Grand Marquis",,,,
743,119,,,,,,
744,303,"Chevy","Cavalier","1992",,,
745,92,,,,,,
746,463,"Chevy","Van","1996",,,
747,232,,,,,,
748,232,,,,,,
749,232,,,,,,
750,232,,,,,,
751,232,,,,,,
752,232,,,,,,
753,224,,,,,,
754,224,,,,,,
755,93,,,,,,
756,148,"Buick","Century","2003",,,
757,183,,,,,,
758,204,,,,,,
759,154,"Buick","LaSabre","1996",,,
760,212,,,,,,
761,183,,,,,,
762,464,"GMC","Truck","1998",,,
763,69,,,,,,
764,19,,,,,,
765,141,"Ford","Taurus","1996",,,
766,465,"Dodge","Neon","1996",,,
767,228,,,,,,
768,290,"Mercury","Cougar",,,,
769,413,,,,,,
770,466,"Honda","Civic EX","1998",,,
771,150,,,,,,
772,467,"Dodge","Caravan","2000",,,
773,468,"Dodge","Avenger","1996",,,
774,469,"Dodge","Van","1990",,,
775,470,"Dodge"," Intrepid","2001",,,
776,350,,,,,,
777,379,,,,,,
778,123,,,,,,
779,104,"Truck",,,,,
780,471,"Plymouth","Breeze","1998",,,
781,274,"Ford","Expedition","1998","4.6",,
782,472,"Chevy","Lumina","1992",,,
783,473,"Oldsmobile","Cutlass Supreme","1994",,,
784,87,,,,,,
785,474,"Ford","Taurus","1993",,,
786,318,"Ford","Van","1997",,,
787,260,,,,,,
788,317,"Dodge","Durango","1998",,,
789,69,,,,,,
790,475,"Pontiac","Grand Am","2000",,,
791,476,"Mercury","Cougar","1994",,,
792,406,,,,,,
793,167,,,,,,
794,303,"Dodge","Intrepid","1999",,,
795,113,,,,,,
796,279,,,,,,
797,477,"Dodge","Dakota","1997",,,
798,372,,,,,,
799,478,"Nissan","Sentra","2004",,,
800,479,"Chevy","S10","1992",,,
801,309,,,,,,
802,13,,,,,,
803,4752,".",".",".",".",".",
804,93,"Chevy","Truck","1988",,,
805,473,,,,,,
